theta_deg,r_mm,z_mm
6.3825,8.9444,79.9615
6.3908,8.9571,79.9698
6.3992,8.9698,79.9780
6.4075,8.9826,79.9863
6.4159,8.9953,79.9945
6.4242,9.0080,80.0028
6.4326,9.0208,80.0110
6.4410,9.0335,80.0193
6.4493,9.0463,80.0275
6.4577,9.0590,80.0358
6.4660,9.0718,80.0440
6.4744,9.0845,80.0523
6.4827,9.0973,80.0606
6.4911,9.1101,80.0689
6.4994,9.1228,80.0771
6.5078,9.1356,80.0854
6.5161,9.1484,80.0937
6.5245,9.1612,80.1020
6.5328,9.1739,80.1103
6.5412,9.1867,80.1186
6.5496,9.1995,80.1269
6.5579,9.2123,80.1352
6.5663,9.2251,80.1435
6.5746,9.2379,80.1518
6.5830,9.2507,80.1601
6.5913,9.2635,80.1684
6.5997,9.2763,80.1768
6.6080,9.2891,80.1851
6.6164,9.3019,80.1934
6.6247,9.3148,80.2017
6.6331,9.3276,80.2101
6.6415,9.3404,80.2184
6.6498,9.3532,80.2267
6.6582,9.3661,80.2351
6.6665,9.3789,80.2434
6.6749,9.3917,80.2518
6.6832,9.4046,80.2601
6.6916,9.4174,80.2685
6.6999,9.4303,80.2768
6.7083,9.4431,80.2852
6.7166,9.4560,80.2936
6.7250,9.4688,80.3019
6.7333,9.4817,80.3103
6.7417,9.4945,80.3187
6.7501,9.5074,80.3271
6.7584,9.5203,80.3354
6.7668,9.5332,80.3438
6.7751,9.5460,80.3522
6.7835,9.5589,80.3606
6.7918,9.5718,80.3690
6.8002,9.5847,80.3774
6.8085,9.5976,80.3858
6.8169,9.6105,80.3942
6.8252,9.6234,80.4026
6.8336,9.6363,80.4110
6.8419,9.6492,80.4194
6.8503,9.6621,80.4279
6.8587,9.6750,80.4363
6.8670,9.6879,80.4447
6.8754,9.7008,80.4531
6.8837,9.7137,80.4616
6.8921,9.7266,80.4700
6.9004,9.7396,80.4784
6.9088,9.7525,80.4869
6.9171,9.7654,80.4953
6.9255,9.7784,80.5038
6.9338,9.7913,80.5122
6.9422,9.8042,80.5207
6.9505,9.8172,80.5291
6.9589,9.8301,80.5376
6.9673,9.8431,80.5460
6.9756,9.8560,80.5545
6.9840,9.8690,80.5630
6.9923,9.8820,80.5714
7.0007,9.8949,80.5799
7.0090,9.9079,80.5884
7.0174,9.9209,80.5969
7.0257,9.9338,80.6054
7.0341,9.9468,80.6139
7.0424,9.9598,80.6223
7.0508,9.9728,80.6308
7.0592,9.9858,80.6393
7.0675,9.9988,80.6478
7.0759,10.0118,80.6563
7.0842,10.0248,80.6648
7.0926,10.0378,80.6734
7.1009,10.0508,80.6819
7.1093,10.0638,80.6904
7.1176,10.0768,80.6989
7.1260,10.0898,80.7074
7.1343,10.1028,80.7159
7.1427,10.1159,80.7245
7.1510,10.1289,80.7330
7.1594,10.1419,80.7415
7.1678,10.1549,80.7501
7.1761,10.1680,80.7586
7.1845,10.1810,80.7672
7.1928,10.1941,80.7757
7.2012,10.2071,80.7843
7.2095,10.2202,80.7928
7.2179,10.2332,80.8014
7.2262,10.2463,80.8099
7.2346,10.2593,80.8185
7.2429,10.2724,80.8271
7.2513,10.2854,80.8356
7.2596,10.2985,80.8442
7.2680,10.3116,80.8528
7.2764,10.3247,80.8614
7.2847,10.3377,80.8699
7.2931,10.3508,80.8785
7.3014,10.3639,80.8871
7.3098,10.3770,80.8957
7.3181,10.3901,80.9043
7.3265,10.4032,80.9129
7.3348,10.4163,80.9215
7.3432,10.4294,80.9301
7.3515,10.4425,80.9387
7.3599,10.4556,80.9473
7.3683,10.4687,80.9559
7.3766,10.4818,80.9645
7.3850,10.4950,80.9732
7.3933,10.5081,80.9818
7.4017,10.5212,80.9904
7.4100,10.5343,80.9990
7.4184,10.5475,81.0077
7.4267,10.5606,81.0163
7.4351,10.5738,81.0249
7.4434,10.5869,81.0336
7.4518,10.6000,81.0422
7.4601,10.6132,81.0509
7.4685,10.6264,81.0595
7.4769,10.6395,81.0682
7.4852,10.6527,81.0768
7.4936,10.6658,81.0855
7.5019,10.6790,81.0941
7.5103,10.6922,81.1028
7.5186,10.7054,81.1115
7.5270,10.7185,81.1201
7.5353,10.7317,81.1288
7.5437,10.7449,81.1375
7.5520,10.7581,81.1462
7.5604,10.7713,81.1549
7.5687,10.7845,81.1635
7.5771,10.7977,81.1722
7.5855,10.8109,81.1809
7.5938,10.8241,81.1896
7.6022,10.8373,81.1983
7.6105,10.8505,81.2070
7.6189,10.8637,81.2157
7.6272,10.8769,81.2244
7.6356,10.8902,81.2331
